osm_id,state,city,county,district,city_district,town,suburb,village,neighbourhood,road,address,status
1032444756,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 5 Ngõ 2 Nhân Hòa,"Ngách 5 Ngõ 2 Nhân Hòa, Quận Thanh Xuân, Thành phố Hà Nội",3
1017831752,Tỉnh Hưng Yên,,Yên Mỹ,,,Yên Mỹ,,,,Đường tỉnh 382,"Đường tỉnh 382, Yên Mỹ, Tỉnh Hưng Yên",3
1018813563,Thành phố Hà Nội,,,,Huyện Phú Xuyên,,,,,Ngõ 5 Xóm Đông,"Ngõ 5 Xóm Đông, Huyện Phú Xuyên, Thành phố Hà Nội",3
1019037378,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 3 Đường số 1,"Ngõ 3 Đường số 1, Hoằng Hóa, Tỉnh Thanh Hóa",3
1018940373,Đắk Lắk,Buôn Ma Thuột,,,,,,,,Nguyễn Công Trứ,"Nguyễn Công Trứ, Buôn Ma Thuột, Đắk Lắk",3
1029520446,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 4 Đường HP1,"Ngõ 4 Đường HP1, Hoằng Hóa, Tỉnh Thanh Hóa",3
1030834536,Tỉnh Bắc Ninh,Thành phố Bắc Ninh,,,,,,,,Nguyễn Giản Thanh,"Nguyễn Giản Thanh, Thành phố Bắc Ninh, Tỉnh Bắc Ninh",3
1030302666,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngõ 32 Khương Trung,"Ngõ 32 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
1032835986,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 7 Đường số 1,"Ngõ 7 Đường số 1, Hoằng Hóa, Tỉnh Thanh Hóa",3
1035828426,Tỉnh Kiên Giang,,Huyện Kiên Lương,,,,,,,Trần Hưng Đạo,"Trần Hưng Đạo, Huyện Kiên Lương, Tỉnh Kiên Giang",3
1034820351,Thành phố Hà Nội,,,,Huyện Thường Tín,,,,,Ngõ 25 Chợ Bằng,"Ngõ 25 Chợ Bằng, Huyện Thường Tín, Thành phố Hà Nội",3
1033234506,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 3 Trung Ngoại,"Ngõ 3 Trung Ngoại, Hoằng Hóa, Tỉnh Thanh Hóa",3
1009961862,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Hẻm 15 Ngách 3 Ngõ 271 Bùi Xương Trạch,"Hẻm 15 Ngách 3 Ngõ 271 Bùi Xương Trạch, Quận Thanh Xuân, Thành phố Hà Nội",3
1022213358,Thành phố Hà Nội,,,,Huyện Thường Tín,,,,,Ngõ Văn Tổng,"Ngõ Văn Tổng, Huyện Thường Tín, Thành phố Hà Nội",3
1036260666,Thành phố Hà Nội,,,,Quận Hà Đông,,,,,Ngách 6 Ngõ 315 Chiến Thắng,"Ngách 6 Ngõ 315 Chiến Thắng, Quận Hà Đông, Thành phố Hà Nội",3
1037157456,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Ngõ 71 Hoàng Mai,"Ngõ 71 Hoàng Mai, Hoàng Mai, Thành phố Hà Nội",3
1037171721,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 3 Ngõ 149 Cự Lộc,"Ngách 3 Ngõ 149 Cự Lộc, Quận Thanh Xuân, Thành phố Hà Nội",3
1037166411,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngõ 40 Cự Lộc,"Ngõ 40 Cự Lộc, Quận Thanh Xuân, Thành phố Hà Nội",3
1063306560,Thành phố Hà Nội,,,,Quận Cầu Giấy,,,,,Ngách 36 Ngõ 58 Phố Trần Bình,"Ngách 36 Ngõ 58 Phố Trần Bình, Quận Cầu Giấy, Thành phố Hà Nội",3
1011973752,Thành phố Hà Nội,,,,Quận Hà Đông,,,,,Ngách 126 Ngõ 22 Dương Lâm,"Ngách 126 Ngõ 22 Dương Lâm, Quận Hà Đông, Thành phố Hà Nội",3
1012129002,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 40 Ngõ 345 Khương Trung,"Ngách 40 Ngõ 345 Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",3
1028840328,Tỉnh Sơn La,Thành phố Sơn La,,,,,,,,Đường Nguyễn Lương Bằng,"Đường Nguyễn Lương Bằng, Thành phố Sơn La, Tỉnh Sơn La",3
1064289885,Thành phố Hà Nội,,,,Quận Cầu Giấy,,,,,Ngõ 105,"Ngõ 105, Quận Cầu Giấy, Thành phố Hà Nội",3
1038766566,Thành phố Đà Nẵng,,,,Liên Chiểu,,,,,Xuong uom tao,"Xuong uom tao, Liên Chiểu, Thành phố Đà Nẵng",3
1029238158,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 2 Đường số 1,"Ngõ 2 Đường số 1, Hoằng Hóa, Tỉnh Thanh Hóa",3
1030008078,Tỉnh Sơn La,Thành phố Sơn La,,,,,,,,Đường Song Hào,"Đường Song Hào, Thành phố Sơn La, Tỉnh Sơn La",3
1029238157,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 1 Đường số 1,"Ngõ 1 Đường số 1, Hoằng Hóa, Tỉnh Thanh Hóa",3
1053574160,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngõ 545 Phố Vũ Tông Phan,"Ngõ 545 Phố Vũ Tông Phan, Quận Thanh Xuân, Thành phố Hà Nội",3
1033236333,Thành phố Hà Nội,,,,Huyện Đan Phượng,,,,,Ngõ 90 Đường Tỉnh 422,"Ngõ 90 Đường Tỉnh 422, Huyện Đan Phượng, Thành phố Hà Nội",3
1042098651,Bình Định,Quy Nhơn,,,,,,,,Nguyễn Tất Thành,"Nguyễn Tất Thành, Quy Nhơn, Bình Định",3
1029571202,Tỉnh Sơn La,,Phù Yên,,,,,,,Quốc lộ 37,"Quốc lộ 37, Phù Yên, Tỉnh Sơn La",3
1029556922,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngõ 103 Cù Chính Lan,"Ngõ 103 Cù Chính Lan, Quận Thanh Xuân, Thành phố Hà Nội",3
1034817723,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 6 Đường TL510B,"Ngõ 6 Đường TL510B, Hoằng Hóa, Tỉnh Thanh Hóa",3
1030008077,Tỉnh Sơn La,Thành phố Sơn La,,,,,,,,Đường 3 Tháng 2,"Đường 3 Tháng 2, Thành phố Sơn La, Tỉnh Sơn La",3
1030008092,Tỉnh Sơn La,,Mường La,,,,,,,Quốc lộ 279D,"Quốc lộ 279D, Mường La, Tỉnh Sơn La",3
1055930176,Tỉnh Thái Bình,,Hưng Hà,,,Hưng Hà,,,,Phố Thá,"Phố Thá, Hưng Hà, Tỉnh Thái Bình",3
1055902411,Tỉnh Thái Bình,,Kiến Xương,,,Kiến Xương,,,,Phố Nguyễn Danh Đới,"Phố Nguyễn Danh Đới, Kiến Xương, Tỉnh Thái Bình",3
1060450479,Thành phố Hà Nội,,,,Quận Cầu Giấy,,,,,Ngách 74 Ngõ 63 Phố Trần Quốc Vượng,"Ngách 74 Ngõ 63 Phố Trần Quốc Vượng, Quận Cầu Giấy, Thành phố Hà Nội",3
1067541885,Tỉnh Bình Dương,,Huyện Phú Giáo,,,,,,,Đường tỉnh 741,"Đường tỉnh 741, Huyện Phú Giáo, Tỉnh Bình Dương",3
1037916018,Thành phố Hà Nội,,,,Thanh Oai,,,,,Ngõ 7 Đường Đình,"Ngõ 7 Đường Đình, Thanh Oai, Thành phố Hà Nội",3
1038935448,Tỉnh Thanh Hóa,,Hoằng Hóa,,,,,,,Ngõ 1 Đường số 2,"Ngõ 1 Đường số 2, Hoằng Hóa, Tỉnh Thanh Hóa",3
1019885007,Tỉnh Hà Nam,Thành phố Phủ Lý,,,,,,,,Đường tỉnh 493B,"Đường tỉnh 493B, Thành phố Phủ Lý, Tỉnh Hà Nam",3
1020150777,Tỉnh Bình Phước,,Huyện Lộc Ninh,,,,,,,Quốc lộ 13,"Quốc lộ 13, Huyện Lộc Ninh, Tỉnh Bình Phước",3
1068719145,Tỉnh Thái Bình,Thái Bình,,,,,,,,Đường Trần Lãm,"Đường Trần Lãm, Thái Bình, Tỉnh Thái Bình",3
1055902415,Tỉnh Thái Bình,,Kiến Xương,,,Kiến Xương,,,,Đường Trần Hưng Đạo,"Đường Trần Hưng Đạo, Kiến Xương, Tỉnh Thái Bình",3
1072489185,Tỉnh Bắc Giang,Bắc Giang,,,,,,,,Phố Nguyễn Đình Chính,"Phố Nguyễn Đình Chính, Bắc Giang, Tỉnh Bắc Giang",3
973477511,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Ngõ 240 Phố Tân Mai,"Ngõ 240 Phố Tân Mai, Hoàng Mai, Thành phố Hà Nội",3
